Ticker,Price,Drug,Indication,Stage,Date,Catalyst,Shares_Millions
AZN,65.53,IMFINZI (Durvalumab) + TACE - (EMERALD-1),Locoregional Hepatocellular carcinoma (HCC) ,Phase 3,01/19/2024,"Phase 3 data presented at ASCO GI reported that treatment reduced the risk of disease progression or death by 23% compared to TACE alone, noted January 19, 2024.",
TEVA,11.18,SIMLANDI (adalimumab-ryvk) - (Humira biosimilar),Inflammatory diseases ,BsUFA,01/19/2024,"FDA facility reinspection in Iceland has concluded, the company also received a form 483 with one observation, noted January 19, 2024. Alvotech believes it is in position to receive approval on BsUFA",
ALVO,14.14,SIMLANDI (adalimumab-ryvk) - (Humira biosimilar),Inflammatory diseases ,BsUFA,01/19/2024,"FDA facility reinspection in Iceland has concluded, the company also received a form 483 with one observation, noted January 19, 2024. Alvotech believes it is in position to receive approval on BsUFA",301.0
TEVA,11.18,SELARSDI (ustekinumab-aekn) - (STELARA biosimilar),moderate to severe plaque psoriasis and for active psoriatic arthritis in adults and pediatric patients 6 years and older. ,BsUFA,01/19/2024,"FDA facility reinspection in Iceland has concluded, the company also received a form 483 with one observation, noted January 19, 2024. Alvotech believes it is in position to receive approval on BsUFA",
ALVO,14.14,SELARSDI (ustekinumab-aekn) - (STELARA biosimilar),moderate to severe plaque psoriasis and for active psoriatic arthritis in adults and pediatric patients 6 years and older. ,BsUFA,01/19/2024,"FDA facility reinspection in Iceland has concluded, the company also received a form 483 with one observation, noted January 19, 2024. Alvotech believes it is in position to receive approval on BsUFA",301.0
RCUS,15.34,AB680 + Zimberelimab (AB122) - (ARC-8),Pancreatic Cancer ,Phase 1b,01/19/2024,"Phase 1b results presented at the ASCO Gastrointestinal Cancers Symposium reported that a 37% reduction in risk of death and a 5.9-month improvement in mOS, noted January 19, 2024.",106.0
BMY,49.53,Opdivo (nivolumab) plus Yervoy - (CheckMate -8HW),Microsatellite Instability–High or Mismatch Repair Deficient Metastatic Colorectal Cancer ,Phase 3,01/20/2024,"Presentation of data reported that it demonstrated significant efficacy benefit compared to chemotherapy as first-line treatment in MSI-H/dMMR mCRC, noted January 20, 2023.",
AZN,66.12,Ampligen (rintatolimod) with Imfinzi (durvalumab) - (DURIPANC),Pancreatic Cancer ,Phase 1/2,01/22/2024,"Phase 1b/2 trial approved by Netherlands, noted June 27, 2023. Phase 1b/2 enrollment commenced January 22, 2024.",
AIM,0.42,Ampligen (rintatolimod) with Imfinzi (durvalumab) - (DURIPANC),Pancreatic Cancer ,Phase 1/2,01/22/2024,"Phase 1b/2 trial approved by Netherlands, noted June 27, 2023. Phase 1b/2 enrollment commenced January 22, 2024.",2.0
CLRB,3.64,Iopofosine (CLR 131) - (CLOVER-WaM),Waldenstrom’s macroglobulinemia ,Phase 2b,01/22/2024,"Phase 2b complete CNS clearance reported in one patient, noted January 22, 2024.",3.0
TVRD,—,KORSUVA (CR845/difelikefalin) oral - (KICK),Stage 3-4 Chronic Kidney Disease-Associated Pruritus ,Phase 3,01/22/2024,"Phase 3 trial was discontinued to focus resources on the notalgia paresthetica (NP) program, noted on January 22, 2024.",9.0
SGMT,18.42,Denifanstat - (FASCINATE-3),Nonalcoholic steatohepatitis (NASH) ,Phase 2b,01/22/2024,"Phase 2b topline data reported NASH resolution without worsening of fibrosis with ≥2-point reduction in NAS (NAFLD Activity Score) in 36% of denifanstat-treated patients vs 13% with placebo (p=0.002),",32.0
AGEN,11.77,Neoadjuvant botensilimab plus balstilimab - (NEST-1),Colorectal cancer ,Phase 2,01/22/2024,"Phase 2 trial data presented at ASCO-GI showed a major tumor regression in 67.5% of patients. The study achieved durable elimination of ctDNA, a critical biomarker for cancer clearance and long-term d",31.0
IONS,51.01,DAWNZERA (Donidalorsen),Hereditary Angioedema (HAE) ,Phase 3,01/22/2024,"Phase 3 topline data met the primary endpoint with a statistically significant reduction in the rate of HAE attacks in patients treated every 4 weeks or patients treated every 8 weeks, noted January 2",159.0
SEEL,10.24,SLS-002,Acute Suicidal Ideation and Behavior in patients with Major Depressive Disorder (ASIB in MDD) ,Phase 2,01/22/2024,"EoP2 minutes with FDA agreed that the primary endpoint in a Phase 3 trial could be the change from baseline in the Montgomery-Åsberg Depression Rating Scale (MADRS) total score at Day 16, rather than",
SPRB,2.44,Tildacerfont - (CAHmelia-204),Congenital Adrenal Hyperplasia (good disease control) ,Phase 2b,01/22/2024,"Phase 2b enrollment completed exceeding target enrollment (100/90), noted January 22, 2024.",
SXTP,0.75,ARAKODA (tafenoquine),Babesiosis ,Phase 2,01/22/2024,"Type C meeting with FDA on January 17, 2024, concluded that the company now plans to conduct a pivotal clinical study in support of a future indication, noted January 22, 2024.",4.0
GILD,77.62,Trodelvy (sacituzumab govitecan-hziy; SG) vs. docetaxel - (EVOKE-01),Non-small cell lung cancer (NSCLC) ,Phase 3,01/22/2024,"Phase 3 trial did not meet its primary endpoint, noted January 22, 2024.",
CRBP,7.3,CRB-701 (SYS6002) with Pembrolizumab,"Solid tumors, Locally advanced or metastatic urothelial carcinoma ",Phase 1,01/23/2024,"Phase 1 dose escalation data from 2024 ASCO GU reported an anti tumor responses across multiple doses were observed, with the first confirmed stable disease at 0.6mg/kg and the first confirmed partial",12.0
ARTL,1.38,ART26.12,Chemotherapy-Induced Pain ,Preclinical,01/23/2024,"Preclinical data reported that ART26.12 (10 and 25 mg/kg BID for 15 days) with oxaliplatin prevented thermal hyperalgesia, mitigated mechanical allodynia, and attenuated OXA-induced weight loss, noted",1.0
LLY,627.56,AK-OTOF,Hearing loss ,Phase 1/2,01/23/2024,"Phase 1/2 clinical trial showed that hearing restoration was observed within 30 days of a single administration of AK-OTOF in the initial AK-OTOF-101 study participant, noted January 23, 2024.",946.0
VNDA,3.71,VCA-894A,"Charcot-Marie-Tooth disease, axonal, type 2S (CMT2S), caused by cryptic splice site variants within IGHMBP2 ",IND-Enabling,01/23/2024,"Orphan drug designation, noted June 2, 2023. IND clearance by the FDA on January 23, 2024.",59.0
HRTX,2.2,ZYNRELEF (bupivacaine and meloxicam) extended-release,Soft tissue and orthopedic surgical procedures ,Approved,01/23/2024,"FDA Approved on January 23, 2024.",153.0
URGN,15.04,ZUSDURI (VesiGel UGN-102 (mitomycin)) - (ENVISION),Low grade non-muscle invasive bladder cancer (LG-NMIBC) ,NDA Filing,01/24/2024,"NDA was submitted to FDA on January 24, 2024",46.0
ANVS,9.09,Buntanetap,Parkinson's Disease (PD) ,Phase 3,01/24/2024,"Phase 3 data release postponed due to ongoing data cleaning efforts to ensure the accuracy and reliability of the study results, noted January 24, 2024.",19.0
ENSC,1.5,PF614-MPAR-102 - (MPAR),Overdose Protection ,Phase 1,01/25/2024,"Phase 1 data presented at the HEAL Initiative Scientific Meeting reported that the trial successfully met its overdose protection endpoints, noted January 25, 2024.",2.0
PBLA,3.25,SBP-101 in combination with Gemcitabine and Nab-Paclitaxel - (ASPIRE),Pancreatic Ductal Adenocarcinoma (PDA) ,Phase 2/3,01/25/2024,"Phase 2/3 enrollment exceeded 50% moving faster than expected, full enrollment anticipated 1Q 2025, noted January 25, 2024.",4.0
VERA,25.31,Atacicept - (ORIGIN 3),IgA Nephropathy ,Phase 2b,01/25/2024,"Phase 2b OLE data reported a 59% reduction in Gd-IgA1, a reduction in the percentage of participants with hematuria to 41%, and a 47% reduction in UPCR in the PP analysis, noted January 25, 2024.",63.0
CYTK,82.91,Aficamten - (FOREST-HCM) (OLE),Non-obstructive hypertrophic cardiomyopathy (HCM) ,Phase 2,01/25/2024,"Phase 2 sub-study data reported statistically significant improvements in measures of cardiac structure and function including left ventricular mass index (-11.4 g/m2 ±19.4, p=0.03), maximum left vent",119.0
EXEL,22.09,CABOMETYX (cabozantinib) and TECENTRIQ (atezolizumab) - (CONTACT-02),Castration-Resistant Prostate Cancer ,Phase 3,01/25/2024,"Phase 3 data presented at ASCO GU showed a reduction of the risk of disease progression or death by 35% in patients. While a trend toward OS improvement was observed, the data were immature and did no",269.0
IPSEY,27.99,CABOMETYX (cabozantinib) and TECENTRIQ (atezolizumab) - (CONTACT-02),Castration-Resistant Prostate Cancer ,Phase 3,01/25/2024,"Phase 3 data presented at ASCO GU showed a reduction of the risk of disease progression or death by 35% in patients. While a trend toward OS improvement was observed, the data were immature and did no",328.0
SRRK,14.91,SRK-439 with apitegromab - (EMBRAZE),Obesity ,Preclinical,01/25/2024,"Preclinical data supports the potential of SRK-439 to preserve lean muscle mass as part of healthy weight loss, noted January 25, 2024.",96.0
PCSA,5.1,NGC-Capecitabine (PCS6422),Gastrointestinal Cancer ,Phase 1b,01/25/2024,"Phase 1b preliminary efficacy data reported that of the 11 cancer patients receiving one of the two highest doses of NGC-Cap, five have completed an efficacy evaluation at this time, and four of these",50.0
EPIX,6.8,EPI-7386 and XTANDI (enzalutamide),Castration-resistant prostate cancer ,Phase 1/2,01/25/2024,"Phase 1/2 data due presented at ASCO GU reported that 88% of patients (14 of 16) achieved PSA50, 81% of patients (13 of 16) achieved PSA90, 69% of patients (11 of 16) achieved PSA90 in less than 90 da",47.0
REGN,948.87,Dupixent (dupilumab),Eosinophilic esophagitis (EoE) in 1-11 year olds ,Approved,01/25/2024,"Approved January 25, 2024.",105.0
SNY,47.88,Dupixent (dupilumab),Eosinophilic esophagitis (EoE) in 1-11 year olds ,Approved,01/25/2024,"Approved January 25, 2024.",
BMY,49.04,BMS-986365 (CC-94676) - (rechARge),Metastatic CRPC ,Phase 1,01/25/2024,"Phase 1 data reported that treatment induces effective and durable suppression of AR signaling, overcomes resistance to existing AR pathway inhibitors (ARPI) therapies and shows promising clinical act",
CRBP,29.49,CRB-701 (SYS6002) with Pembrolizumab,"Solid tumors, Locally advanced or metastatic urothelial carcinoma ",Phase 1,01/26/2024,"Phase 1 dose escalation data from 2024 ASCO GU reported an ORR of 43% in the mixed tumor population, with no dose discontinuations or reductions in the study to date, noted January 26, 2024.",12.0
MRK,119.33,KEYTRUDA (pembrolizumab) - (AMBASSADOR (A031501) KEYNOTE-123),Localized muscle-invasive urothelial carcinoma (MIUC) ,Phase 3,01/26/2024,"Phase 3 data reported that treatment doubled median DFS as adjuvant therapy versus observation – 29 months versus 14 months, noted January 26, 2024.",
BMY,49.13,Opdivo Qvantig (nivolumab and hyaluronidase-nvhy) Injection,"Solid tumors, Metastatic clear cell renal cell carcinoma (ccRCC) ",Phase 3,01/27/2024,"Phase 3 results presented at ASCO GU reported that with subcutaneous nivolumab demonstrating an ORR of 24.2% vs. 18.2% with IV Opdivo, noted January 27, 2024.",
HALO,34.21,Opdivo Qvantig (nivolumab and hyaluronidase-nvhy) Injection,"Solid tumors, Metastatic clear cell renal cell carcinoma (ccRCC) ",Phase 3,01/27/2024,"Phase 3 results presented at ASCO GU reported that with subcutaneous nivolumab demonstrating an ORR of 24.2% vs. 18.2% with IV Opdivo, noted January 27, 2024.",116.0
MRK,119.79,KEYTRUDA (KEYNOTE-564),Renal cell carcinoma (RCC) ,Phase 3,01/29/2024,"Additional Phase 3 data reported that treatment reduced the risk of disease recurrence or death by 32%, noted January 29, 2024.",
NNVC,1.17,NV-CoV-2 (NV-387),"RSV (Respiratory Syncytial Virus), Coronavirus, Smallpox/Mpox related Ectromelia virus infection ",Phase 1b,01/29/2024,"Phase 1a/1b healthy subjects section of trial completed with no adverse events reported, noted January 29, 2024.",17.0
AZN,66.17,GC012F,Early-line treatment of multiple myeloma (ELMM). ,IND-Enabling,01/29/2024,"IND was cleared by the FDA on January 29, 2024.",
ACXP,3.68,Ibezapolstat,C. difficile Infection ,Phase 2b,01/29/2024,"Phase 2b trial showed that 100% (5 of 5) of ibezapolstat-treated patients who agreed to observation for up to three months following Clinical Cure of CDI experienced no recurrence of infection, noted",1.0
SRPT,120.5,SRP-5051 - (MOMENTUM),Duchenne muscular dystrophy ,Phase 2,01/29/2024,"Phase 2 data at target dose (~30 mg/kg), SRP-5051 dosed monthly resulted in mean dystrophin expression of 5.17% and mean exon skipping of 11.11% at 28 weeks (n=20), noted January 29, 2024.",97.0
PALI,14.4,PALI-2108,Moderate-to-severe ulcerative colitis (UC) ,Preclinical,01/29/2024,"Preclinical data demonstrated PALI-2108 to be safe and well tolerated, noted January 29, 2024.",9.0
TAK,14.77,GAMMAGARD LIQUID [Immune Globulin Infusion (Human) 10% solution],Adults with chronic inflammatory demyelinating polyneuropathy (CIDP) ,Approved,01/29/2024,"FDA Approved on January 29, 2024.",
LIXT,2.15,LB-100 with doxorubicin,Ovarian clear cell carcinoma (OCCC) ,Phase 1/2,01/29/2024,"Phase 1b/2 dosing was initiated, noted January 29, 2024.",4.0
IKT,3.21,Risvodetinib - (IkT-148009) - (201 trial),Parkinson’s disease ,Phase 1,01/29/2024,Phase 1 study published at Journal of Parkinson's Disease showed that data demonstrated that Risvodetinib was well tolerated up to 7 days of daily dosing with no serious adverse events in healthy volu,74.0
KRBP,1.77,Deltacel-01 - (KB-GDT-01),Stage 4 Metastatic Non-Small Cell Lung Cancer ,Phase 1,01/29/2024,"Phase 1 efficacy results from first patient reported a stabilization of the disease, indicating a preliminary progression-free survival of one and one-half months, noted January 29, 2024.",1.0
ALVO,15.25,"AVT03-GL-P01 (denosumab) - (PROLIA Biosimilar, Xgeva Biosimilar)",Osteoporosis in postmenopausal women and for bone loss in adult men and women ,Phase 1,01/29/2024,"Pk trial met its primary endpoints, noted January 29, 2024.",301.0
RCUS,15.72,Domvanalimab + zimberelimab vs. zimberelimab vs. chemotherapy - (ARC-10),Non Small Cell Lung Cancer (NSCLC) ,Phase 3,01/30/2024,"Phase 3 trial discontinued January 30, 2024.",106.0
KURA,20.85,Ziftomenib (in combination with SoC cytarabine/daunorubicin (7+3) and venetoclax/azacitidine (ven/aza))- (KOMET-007),Acute myeloid leukemia (AML) ,Phase 1,01/30/2024,"Phase 1 combinations demonstrated encouraging preliminary evidence of clinical activity in patients with refractory/relapsed disease after failure of other agents, including venetoclax, a setting with",86.0
KYKOF,—,Ziftomenib (in combination with SoC cytarabine/daunorubicin (7+3) and venetoclax/azacitidine (ven/aza))- (KOMET-007),Acute myeloid leukemia (AML) ,Phase 1,01/30/2024,"Phase 1 combinations demonstrated encouraging preliminary evidence of clinical activity in patients with refractory/relapsed disease after failure of other agents, including venetoclax, a setting with",540.0
SCYX,1.96,SCY-247,Pulmonary mucormycosis ,Preclinical,01/30/2024,"Preclinical data reported that SCY-247 resulted in 40% and 50% survival at 21 days post infection for the intermediate (32 mg/kg) and high doses (48 mg/kg), respectively, compared to 0% survival in th",41.0
ITRM,1.58,ORLYNVAH (Oral Sulopenem),Uncomplicated urinary tract infections (uUTI) ,Phase 3,01/30/2024,"Phase 3 data met the primary endpoint of non-inferiority to augmentin; and demonstrated statistical superiority, noted January 30, 2024.",44.0
VRTX,446.08,Suzetrigine (VX-548),Acute Pain following bunionectomy or abdominoplasty surgery ,Phase 3,01/30/2024,"Phase 3 trial data reported a statistically significant improvement on the primary endpoint of the time-weighted sum of the pain intensity difference from 0 to 48 hours (SPID48) compared to placebo, n",256.0
NVS,99.74,Sabatolimab (MBG453) - (STIMULUS),Myelodysplastic syndromes (MDS) ,Phase 3,01/31/2024,"Phase 3 trial did not meet its primary endpoint, noted January 31, 2024.",
OTLK,7.72,ONS-5010 / LYTENAVA (bevacizumab-vikg) - (NORSE EIGHT),Wet age-related macular degeneration (wet AMD) ,Phase 3,01/31/2024,"Special Protocol Assessment (SPA) dosing initiated, noted January 31, 2024.",44.0
NVO,113.92,Semaglutide - (STEP HFpEF),"Heart failure with preserved ejection fraction (HFpEF) and obesity, Type 2 diabetes ",Phase 3,01/31/2024,"Phase 3 reported that KCCQ-CSS estimated treatment difference between semaglutide 2.4 mg and placebo of 7.8, noted January 31, 2024.",
RHHBY,32.97,Vabysmo - (BALATON),Macular edema due to branch and central retinal vein occlusion (BRVO and CRVO) ,Phase 3,02/01/2024,"Phase 3 data reported that patients who recieved Vabysmo as a first-line treatment gained 18.1 letters on the eye chart, while people switched from aflibercept to Vabysmo gained 18.8 letters, noted Fe",
EDAP,6.34,Transrectal High-intensity focused ultrasound (TR-HIFU),Rectal Deep Infiltrating Endometriosis ,Phase 3,02/01/2024,"Phase 3 enrolment completed, noted February 1, 2024.",37.0
AZN,64.65,Attruby (Acoramidis) - (ATTRibute-CM),Amyloid cardiomyopathy (ATTR-CM) ,Phase 3,02/02/2024,"Additional Phase 3 data reported improved functions and quality of life at 30 months, noted February 2, 2024.",
